id,name,destination,cost_estimate,duration_hours,tags,description
35,Heritage Town Walk & Newari Feast,Bandipur,900.0,3.0,"heritage, food, walking",Guided town walk with a traditional Newari meal.
34,Rara Lake day hike & picnic,Rara,1200.0,4.0,"nature, hiking, viewpoint",Scenic lake walk with picnic and photography stops.
33,Muktinath Pilgrimage Day Trip,Mustang,2500.0,6.0,"spiritual, pilgrimage, guided",Guided visit to the sacred Muktinath site (seasonal).
32,Lower Mustang Cultural Day Tour,Mustang,2000.0,5.0,"culture, trekking, heritage","Village visits, ancient gompas and local hospitality."
31,Gorkha Durbar Fort Visit & Short Hike,Gorkha,700.0,3.0,"history, hiking, viewpoint",Historical fort visit with short walk and scenic views.
30,Janaki Temple Pilgrimage & Cultural Tour,Janakpur,600.0,2.0,"spiritual, culture, heritage","Explore the temple, local crafts and Mithila painting demonstrations."
29,Viewpoint Sunrise Hike,Ilam,800.0,3.0,"hiking, viewpoint, sunrise",Short early-morning hike to panoramic viewpoints over hills and tea terraces.
28,Tea Estate Walk & Tasting,Ilam,700.0,2.0,"nature, food, walking",Walk through rolling tea gardens and sample estate teas.
27,Pilgrim Guided Walk with Local Guide,Lumbini,1200.0,3.0,"history, guided, culture",Learn about Buddhist history with a certified local guide.
26,Bicycle Tour of Sacred Sites,Lumbini,800.0,3.0,"bike, culture, heritage","Easy cycling tour covering ruins, monasteries and museum sites."
25,Monastic Circuit & Meditation Session,Lumbini,500.0,2.0,"spiritual, heritage, meditation","Visit Maya Devi Temple, monastery circuit and join a guided meditation."
24,Canoe Ride on Rapti River,Chitwan,1500.0,2.0,"water, wildlife, boat",Guided canoe trip with birdwatching and riverbank wildlife viewing.
23,Tharu Cultural Village & Dance Show,Chitwan,900.0,2.0,"culture, heritage, food",Evening cultural performance and village visit with Tharu hosts.
22,Jungle Safari (Chitwan National Park),Chitwan,2000.0,4.0,"wildlife, safari, nature, family","Half-day jeep or open-vehicle safari to spot rhinos, deer and birds."
21,Caving & Gupteshwor Exploration,Pokhara,1000.0,1.0,"caving,adventure,nature,conservation",Guided exploration of Gupteshwor and nearby caves with responsible lighting and conservation-aware practices.
20,Mountain Biking Trails Around Begnas & Phewa,Pokhara,3500.0,5.0,"biking,offroad,adventure,nature",Guided single-day mountain-biking on designated trails around Pokhara's lakes and foothills.
19,Lake Boat Rental & Sunset Cruise,Pokhara,2500.0,1.5,"boat,relax,photography,romantic",Private or shared boat rentals on Phewa Lake with options for sunset photography and gentle paddling.
18,Motorbike Rental & Off-Road Annapurna Foothills Tour,Pokhara,3500.0,6.0,"motorbike,rental,offroad,tour",Daily motorbike rentals and guided off-road loops on maintained trails; safety gear and local license required.
17,Seasonal Skydiving Festival (Tandem),Pokhara,300.0,1.0,"skydiving,seasonal,tandem,adrenaline",Occasional tandem skydiving drop zones for certified operators during good-weather festival windows; book well in advance.
16,Zipline & Canopy Adventure,Pokhara,3500.0,2.0,"zipline,adrenaline,forest,seasonal",High-elevation zipline runs above forested valleys; seasonal weather restrictions apply.
15,Seti/Trishuli Day White-Water Rafting,Pokhara,2500.0,6.0,"rafting,water,adventure,river",Full-day or half-day rafting options on nearby rivers; choose grade and operator according to experience and safety briefings.
